,Game Writers Survey – France 2019 STJV / GWU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"By clicking the checkbox below, I consent to have my survey answers used for the purposes of publishing public information about game writing, as well as having the information used for general labor organizing within Game Workers Unite. Your personal information (email, phone number, name, etc) will not be published.","What is your current position ? If you have several, please check all the relevant answers.",,,,,,,,,,,,,,,,,,,,,What issues have you experienced in your game writing role(s)?,,,,,,,,,,,,,,,,,,
I consent to have my answers in this survey used as described in the above paragraph.,Game Writer (Digital),"Game Writer (Analog: Tabletop games,etc)",Contributing/ Jr. / Associate Game Writer,Narrative Designer,Editor,Journalist,Quest Designer,Localization,Critic,Intern for one of these positions (also mark your title),"Currently Unemployed (if so, also mark your past title)",Other,"If other, add details",How many years of experience do you have as a game writer?,Is game writing your main source of income?,What is your employment status as a game writer?,Do you identify as part of a marginalized community?,What was your net income from game writing in 2018 ? (in Euros),How much are you being paid for game writing in 2019? (Salary),How much are you charging for game writing in 2019? (Rate),What do you expect your net income from game writing to be in 2019?,Crunch (working over 40 hours a week),Unpaid over-time,Low pay,Healthcare coverage problems because of an employer,"Frequent job instability (due to lay-offs, contract status, etc.)",Lack of remote jobs,Lack of relocation assistance,Delayed/missing payments,Lack of mentorship/training,Your work was not credited,Harassment/Discrimination,You have not personally experienced any major issues as a game writer,Other (please detail in the next question),What are the main issues you experience as a game writer?,Have you already worked as a hidden salaried worker ?,Do you believe the game industry should unionize?,"Should game writers work with a pre-existing, not video game related labor organization?",If other,Provide any (positive or negative) feedback you'd like about the survey! 
X,,,,,,X,,,,,,,,4 years,Yes,Part Time Freelancer - You work 1 to 34 hours a week for one or multiple projects (which can include your own),No,14000,,17.50,15000,,,,,X,X,,X,,,,,,,No,Yes,No - We should form our own specific guild or union for French game writers,,
X,,,,,X,X,,,,,X,X,Consultant,8 years,Yes,Full-time unlimited term contract (CDI) – You work 35 hours or more a week for a studio with a CDI.,Yes,22000,0,20,1500,X,X,X,,X,,,,X,X,,,,"Currently changing careet, I have to learn how to manage copyrights and royalties (lol)
",No,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,"You want journalists to answer but the answers you offer don't really apply ;)
"
X,X,X,,X,,,X,X,,,X,,,2 years,Yes,Full-time Freelancer – You work 35 or more hours for one or multiple projects (including your own),No,15000,,42,15000,,,X,X,X,X,,,,X,,,,,Yes,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
X,,,,,,X,,,,,,,,5 years,Yes,Full-time unlimited term contract (CDI) – You work 35 hours or more a week for a studio with a CDI.,No,21000,1750,,21000,X,X,X,,,X,,,X,X,,,,,No,Yes,No - We should join a union for all game developers,,
X,,,,,,X,,,,,,,,6 years,Yes,Full-time Freelancer – You work 35 or more hours for one or multiple projects (including your own),No,9738,,,18000,X,,X,X,X,X,,X,X,,,,,,No,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
X,X,,,,,,,,,,,,,1 - 6 months,Yes,Full-time fixed term contract (CDD) – You work 35 hours or more a week for a studio with a CDD.,No,0,1737.60,,1737.60,,,,,,,,,X,,,X,X,"I haven't been working long enough on this project to witness most of these problems. I think I am currently in a safe environment (despite the lack of mentorship while I am a junior in this position). But I already encountered some of these problems in other positions before becoming a writer, and the potential lack of job prospects at the end of my contrat is making me anxious.",No,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
X,,,,,,X,,,X,,,,,15 to 20 years,Yes,Full-time fixed term contract (CDD) – You work 35 hours or more a week for a studio with a CDD.,No,24000,0,0,0,X,X,X,,,,,,X,,,,,"Feeling like being the fifth wheel : whatever the conditions in which we work, it always has to be done before a deadline. (t/n : the person means that deadlines don't move and come at the expanse of working conditions)",No,Yes,Yes,,
